DISTRICTS,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER THEFTS,FORGERY,COUNTERFEITING,sum
"24 PARGANAS NORTH, WEST BENGAL",0.02509697716560786,0.015699610047882066,0.010751483928228498,0.0203422962936017,0.0,0.0203422962936017,0.07613598182511279,0.00272859629950815,0.01678901231009783,0.007992343639473954,0.0040521691321675464,0.23759150470254864,0.0632158747245326,0.17437562997801603,0.06103707021435493,0.014131685314079984,0.024475916061383992,0.0015577434102299573,0.0017206446814594446,0.019436157978267397,0.007310194565309609,0.022663639416461517,0.0005599731213123833,0.19509463548467662,8.145063575728226e-05,0.0019140899419353272,0.0,0.0,0.0,1.025096977165608
"24 PARGANAS SOUTH, WEST BENGAL",0.025525509139563397,0.0022362091341586333,0.006152302205101141,0.026289092746498266,0.0,0.026289092746498266,0.05685425370710346,0.00231256749485212,0.01635159753001141,0.004723310025972414,0.0075267526975839015,0.2143706435219762,0.04254251524787734,0.1718281282130122,0.11788640056913817,0.001876234006265887,0.020322232286072717,0.0004908751758430667,0.0016362505856345,0.023998341925693664,0.0075376610346076615,0.017998756455724005,0.00022907508208046002,0.2252571640457857,3.2725011682146653e-05,0.00525781855082682,0.0,0.0,0.0,1.0255255091395634
"A AND N ISLANDS, A & N ISLANDS",0.02577319586686506,0.03264604810765107,0.0017182130481690108,0.005154639168562016,0.0,0.005154639168562016,0.041237113396606094,0.00859106528895502,0.0,0.01546391752974103,0.1546391752733553,0.1924398625495684,0.013745704457517036,0.17869415809205136,0.02920962198725807,0.012027491409348025,0.03951890034843708,0.0017182130481690108,0.018900343650134037,0.17010309277904137,0.0017182130481690108,0.03608247422804407,0.0034364261203930044,0.03092783505948206,0.0,0.006872852240786009,0.0,0.0,0.0,1.025773195866865
"ADILABAD, ANDHRA PRADESH",0.025146130004871006,0.018457494799878314,0.0032168216219613213,0.014377623474932797,0.0,0.014377623474932797,0.03212898669939258,0.0014514926836896012,0.0,0.004923306265073332,0.05478404142332324,0.08514769919103467,0.01649601820118839,0.06865168098160808,0.02106625867717942,0.006806323801353459,0.042877878452744066,0.0006669020439390241,0.008336275548551285,0.3684829940165122,0.003922953200125919,0.03887646620943082,0.027068377072356032,0.09003177592764916,0.0,0.07785100623314356,0.0,0.0,0.0,1.025146130004871
"ADILABAD, TELANGANA",0.018682944873478227,0.01461339252574851,0.0031446540869997696,0.025712171659687328,0.0,0.007769145393239229,0.017018128003128435,0.0003699593048099226,0.0,0.0012948575655398716,0.1080281168853705,0.09341472436739115,0.02515723270117759,0.0,0.01461339252574851,0.007954125044349334,0.0412504624487555,0.0,0.006844247132509281,0.022567517570097846,0.002959674435889666,0.12097669254076922,0.0,0.07103218645617256,0.0,0.3453570108056936,0.06825749167657241,0.0,0.0016648168703497941,1.0186829448734782
"AGAR, MADHYA PRADESH",0.011673151749197568,0.02334630350520447,0.0004863813200460076,0.05301556420505374,0.0,0.02577821011905319,0.03501945525440204,0.0004863813200460076,0.0,0.005836575874598784,0.06857976652823804,0.1060311283964888,0.05301556420505374,0.014591439689901628,0.027723735406046557,0.0014591439669473611,0.010214007782250206,0.0,0.011673151749197568,0.1736381322982535,0.0014591439669473611,0.08219844357123832,0.0004863813200460076,0.03599221790130339,0.0,0.23054474710453135,0.038424124515152105,0.0,0.0,1.0116731517491975
"AGRA, UTTAR PRADESH",0.018413910167729818,0.020284072929314882,0.006042064275674492,0.007825911824306206,1.918115644989383e-05,0.006281828731633836,0.06575300424256493,0.0022250141457708585,0.0002781267681877903,0.01574772943153322,0.03890897582161877,0.2613624375824344,0.1870354563558793,0.06772866335301021,0.043541225099635886,0.018672855789135016,0.03962826918009804,0.002608637274768735,0.0013043186372500995,0.06055491085175991,0.009753618044633771,0.019938812109725822,0.009159002195089867,0.04594846022785409,0.0,0.062415483031293385,0.006598317811781536,0.00021099272068029595,0.00017263040791477637,1.0184139101677299
"AHMEDABAD CITY, GUJARAT",0.006631621512736735,0.0049332794179700505,0.0004852405989900075,0.024262029926855815,0.0,0.008087343308574529,0.05936109988536729,0.0029114435905433613,0.0001617468663300025,0.021107966031722426,0.0808734330857453,0.20938131822245756,0.13691872217907902,0.0,0.014557217958377945,0.013667610189600133,0.01730691468485576,0.0,0.000323493732660005,0.039627982211222636,0.0008896077642488998,0.02668823291614471,0.0,0.06486049333832292,0.0,0.19805903759067967,0.07246259604337853,0.0004043671652588922,0.002668823291614471,1.0066316215127367
"AHMEDABAD COMMR., GUJARAT",0.006818205657625709,0.0044370784510078705,0.0005402116790001563,0.003262249168499281,0.0,0.003262249168499281,0.028940660625792397,0.002554204735054342,0.00017832230184080804,0.030807800026452607,0.05279389088272972,0.3204766450243473,0.16914394807120972,0.15133269695313764,0.013557739707945557,0.016285021975107745,0.01797908384439438,0.0008916115088369061,0.0005402116790001563,0.09325731910417054,0.0005402116790001563,0.005244773582732526,0.001222032244542447,0.07041633012035856,0.0,0.012335707466340185,0.0,0.0,0.0,1.0068182056576256
"AHMEDABAD RURAL, GUJARAT",0.01894328877409707,0.01146879696041687,0.0010677845450487425,0.006169421812884293,0.0,0.004745709087813635,0.04880170845387506,0.006881278178464786,0.00019773787858969318,0.015858577867654922,0.0603496005697142,0.15945582535851094,0.04979039784959186,0.10432650476983371,0.03314086846647083,0.027960136043766674,0.008067705448895613,0.0020169263625007365,0.008028157873952807,0.17760816262821522,0.0004745709087259969,0.013762556356929571,3.954757549647221e-05,0.0603496005697142,0.0,0.19394131140625712,0.005338922724136381,3.954757549647221e-05,0.0001186427270430827,1.0189432887740972
"AHMEDNAGAR, MAHARASHTRA",0.016434486004863354,0.011025231702687054,0.0004593846542652286,0.012265570270183958,0.0,0.00995716238192638,0.016445970625814404,0.006994131361537812,0.0016997232206366396,0.024898648269311093,0.07945057595225305,0.20129087082382338,0.06387743618107083,0.12606663375763252,0.07166400606666194,0.0065806851729081255,0.02801097929292594,0.001022130855768271,0.0069252236631648905,0.1097240246721422,0.001309246264744333,0.02383057893890334,0.0007120462142156142,0.07157212913121046,0.0,0.11276744801828613,0.011346800960688793,0.0,0.00010336154723781374,1.0164344860048633
"AHWA-DANG, GUJARAT",0.07035175879208438,0.011725293132014064,0.0,0.027638190952358106,0.0,0.027638190952358106,0.020100502508674026,0.004187604688329981,0.0,0.007537688443684082,0.05025125628341036,0.09547738693378956,0.020100502508674026,0.07537688442511553,0.0452261306503792,0.020100502508674026,0.019262981575698147,0.007537688443684082,0.015075376887368165,0.23283082079778009,0.0008375209329758789,0.03015075376301104,0.0016750418776770508,0.07621440535809142,0.0,0.21105527637625313,0.0,0.0,0.0,1.0703517587920843
"AIZAWL, MIZORAM",0.008662900188356549,0.007963411352195722,0.001990852838425578,0.026849609898406217,0.0,0.022921711058466757,0.00451977401131646,0.0005380683344653036,0.0,0.003120796341254693,0.1621199892284826,0.32187247781665496,0.023083131555642504,0.2777508743513287,0.0008609093355964633,0.008662900188356549,0.029217110576381242,0.004089319343894876,0.007909604519803805,0.03126177024493885,0.0,0.027710519239275755,0.00010761366704371985,0.00247511433974567,0.0,0.013397901536773631,0.021038471887084898,5.3806833145212094e-05,0.0004842615013200915,1.0086629001883565
"AJMER, RAJASTHAN",0.009725770212694036,0.011557046566149481,0.0013388322919604925,0.01566587670342661,1.5388876827460393e-05,0.011572435442761497,0.05198362623814075,0.000661721707458794,0.0002923886614453017,0.00675571696840497,0.06740328091792953,0.1702625342436748,0.08362315717292541,0.08009910437060376,0.009156381767277226,0.0049552183681735576,0.15376565817950044,0.0007232772151995241,0.003431719553421763,0.0690345018560388,0.003062386506115605,0.023868148105677736,0.00013849989230892064,0.11073835831483515,0.0,0.11326213412660353,0.006540272691527859,0.0,9.23332616110952e-05,1.009725770212694
"AKOLA, MAHARASHTRA",0.01267677052133658,0.012639209720539758,0.0004882904200869555,0.009427761189309186,0.0,0.007474599508435513,0.014460908595995291,0.0029673033234219616,0.000394388416254417,0.015869438654797997,0.07329990422475559,0.22966552106548885,0.03451837662640458,0.18463012000563314,0.035044227848077134,0.005145829811705833,0.023419159764827155,0.002028283283519023,0.009127274775046827,0.20226491633994995,0.0015587732643563307,0.03356057617190525,0.0073619171034157846,0.03803031155612197,0.0,0.04580539748407836,0.01051702443345112,0.00013146280541813903,0.00016902360700373953,1.0126767705213366
"ALAPUZHA, KERALA",0.005467281735407964,0.007669381324572557,0.0027526244857913142,0.010023349847804983,0.0,0.007707348558089515,0.007859217494815055,0.0018224272452245782,3.796723431427026e-05,0.009282988780935763,0.05594471970613252,0.06591111870366206,0.02572280122333432,0.037321791286012436,0.11589498263600845,0.0056001670553750245,0.06002619740222526,0.0005505248968924923,0.005581183438616546,0.33194752927771737,0.0003227214912726413,0.05674203162593488,0.004783871518814182,0.06203846079988571,0.0,0.12147616607462498,0.0028665261889998955,0.0,0.00011390170294281079,1.0054672817354078
"ALIGARH, UTTAR PRADESH",0.0338040886473918,0.03933464071462716,0.00612311121729629,0.015858011540572387,0.0,0.012232113883682822,0.0847641755526319,0.0032731838762448773,0.001029924236954232,0.02310980685237632,0.039419292035887274,0.20681725200710827,0.11261445560549567,0.08521564919359527,0.05795792829079243,0.020683136044543176,0.0508613270468966,0.0007336446619237663,0.006024351358952801,0.06495576969609673,0.011018778481741449,0.0269191156770183,0.005093186981132137,0.051693731564398576,0.0,0.06519561506353778,0.008987147109257458,0.0,8.465130723621291e-05,1.0338040886473918
"ALIPURDUAR, WEST BENGAL",0.015317286653352422,0.01250390747149923,0.00187558612269425,0.12128790246085107,0.0,0.03688652704464264,0.11003438574219104,0.002500781492549299,0.0006251953742314166,0.0006251953742314166,0.0031259768667807157,0.2044388871504785,0.044388871513537806,0.0,0.0062519537379378,0.009377930604718514,0.02657080337638882,0.0,0.0012503907484628333,0.011878712097267813,0.0006251953742314166,0.05564238823219784,0.0,0.10253204127767225,0.0,0.08565176617780036,0.1600500156369407,0.0,0.00187558612269425,1.0153172866533524
"ALIRAJPUR, MADHYA PRADESH",0.07610097660003151,0.04772434125764688,0.001105583196263426,0.041459369814733825,0.0,0.03519439837182077,0.03611571770848953,0.0031324857188768326,0.00018426386475405726,0.011424359684403291,0.05380504883838557,0.0952644186531194,0.046250230334455036,0.0434862723502457,0.021927400037297214,0.0012898470610174832,0.005343652108823991,0.0,0.014188317671192316,0.3243044038761144,0.0005527915968418659,0.033167495862105836,0.0003685277320878086,0.010503040352893924,0.0,0.1676801179322728,0.005527915976157742,0.0,0.0,1.0761009766000316
"ALLAHABAD, UTTAR PRADESH",0.029790823735856724,0.026478996460141204,0.008076484464420051,0.01341914923596035,0.00024994922909453546,0.010435380312455122,0.06439317013118181,0.001655913642450577,0.00020308374870765553,0.013434771062464369,0.06215924889955301,0.20383359630111444,0.12164716541661645,0.07325074593611222,0.03471169918304028,0.020605189569967805,0.052208145217470706,0.0026088450786605445,0.003046256229521305,0.09666786434022809,0.01318482183402595,0.02352647119183107,0.0073422586034217596,0.04675612766477638,0.0,0.0908877884243882,0.008935684939637555,0.0,0.0002811928827586905,1.0297908237358568
"ALMORA, UTTARAKHAND",0.052778748709245,0.03215658860267863,0.007340090877177084,0.026564138414738044,0.0,0.02202027263153125,0.07759524642985316,0.004893393918118056,0.0,0.03530234183645358,0.08353722473802482,0.15658860537977778,0.009786787836236112,0.1447046487145005,0.0360013981111695,0.013981125479638246,0.05068157988020385,0.003844809508490871,0.011184900385667955,0.12548060117204618,0.025515554000217464,0.025865082140022123,0.008039147151893007,0.033904229291915125,0.0,0.06291506467549898,0.0020971688241477643,0.0,0.0,1.052778748709245
"ALWAR, RAJASTHAN",0.010072246810078638,0.009144753970072559,0.00039052330124103194,0.017418966410340134,0.0,0.013220840929032526,0.0379783910376887,0.00017085394427159475,0.0009681723508723702,0.005198841446795947,0.02727967976869796,0.20190868260221234,0.12461761263967336,0.06987112730171972,0.007916232751250557,0.0031404582135913565,0.08699720124430159,0.0003417078885431895,0.0031079146058095443,0.25093562877113906,0.004531697474739501,0.018541720906149296,1.627180423261416e-05,0.05050768028427231,0.0,0.0583018745120362,0.007419942722326679,0.0,7.32231189898124e-05,1.0100722468100787
"AMBALA (RURAL), HARYANA",0.010006671110206894,0.00867244830298429,0.0013342228165621644,0.05403602401940009,0.0,0.020013342229753348,0.07871914610245122,0.0026684456331243288,0.0,0.0026684456331243288,0.12808539022185572,0.1294196131037948,0.05537024683596225,0.0,0.0,0.0033355570367356313,0.025350233486662446,0.0,0.0006671114036113023,0.08272181454279816,0.00600400266985996,0.022681787862877674,0.0,0.03468979319325804,0.0,0.2575050033256505,0.07404936624915343,0.010006671110206894,0.0020013342201734667,1.010006671110207
