DISTRICTS,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER THEFTS,FORGERY,COUNTERFEITING,sum
"24 PARGANAS NORTH, WEST BENGAL",176.0714286,110.1428571,75.42857143,142.7142857,0.0,142.7142857,534.1428571,19.14285714,117.7857143,56.07142857,28.42857143,1666.857143,443.5,1223.357143,428.2142857,99.14285714,171.7142857,10.92857143,12.07142857,136.3571429,51.28571429,159.0,3.928571429,1368.714286,0.571428571,13.42857143,0.0,0.0,0.0,7191.714286230001
"24 PARGANAS SOUTH, WEST BENGAL",167.1428571,14.64285714,40.28571429,172.1428571,0.0,172.1428571,372.2857143,15.14285714,107.0714286,30.92857143,49.28571429,1403.714286,278.5714286,1125.142857,771.9285714,12.28571429,133.0714286,3.214285714,10.71428571,157.1428571,49.35714286,117.8571429,1.5,1475.0,0.214285714,34.42857143,0.0,0.0,0.0,6715.214285808
"A AND N ISLANDS, A & N ISLANDS",1.071428571,1.357142857,0.071428571,0.214285714,0.0,0.214285714,1.714285714,0.357142857,0.0,0.642857143,6.428571429,8.0,0.571428571,7.428571429,1.214285714,0.5,1.642857143,0.071428571,0.785714286,7.071428571,0.071428571,1.5,0.142857143,1.285714286,0.0,0.285714286,0.0,0.0,0.0,42.64285714099999
"ADILABAD, ANDHRA PRADESH",91.57142857,67.21428571,11.71428571,52.35714286,0.0,52.35714286,117.0,5.285714286,0.0,17.92857143,199.5,310.0714286,60.07142857,250.0,76.71428571,24.78571429,156.1428571,2.428571429,30.35714286,1341.857143,14.28571429,141.5714286,98.57142857,327.8571429,0.0,283.5,0.0,0.0,0.0,3733.1428573450003
"ADILABAD, TELANGANA",7.214285714,5.642857143,1.214285714,9.928571429,0.0,3.0,6.571428571,0.142857143,0.0,0.5,41.71428571,36.07142857,9.714285714,0.0,5.642857143,3.071428571,15.92857143,0.0,2.642857143,8.714285714,1.142857143,46.71428571,0.0,27.42857143,0.0,133.3571429,26.35714286,0.0,0.642857143,393.35714289500004
"AGAR, MADHYA PRADESH",1.714285714,3.428571429,0.071428571,7.785714286,0.0,3.785714286,5.142857143,0.071428571,0.0,0.857142857,10.07142857,15.57142857,7.785714286,2.142857143,4.071428571,0.214285714,1.5,0.0,1.714285714,25.5,0.214285714,12.07142857,0.071428571,5.285714286,0.0,33.85714286,5.642857143,0.0,0.0,148.57142856899998
"AGRA, UTTAR PRADESH",137.1428571,151.0714286,45.0,58.28571429,0.142857143,46.78571429,489.7142857,16.57142857,2.071428571,117.2857143,289.7857143,1946.571429,1393.0,504.4285714,324.2857143,139.0714286,295.1428571,19.42857143,9.714285714,451.0,72.64285714,148.5,68.21428571,342.2142857,0.0,464.8571429,49.14285714,1.571428571,1.285714286,7584.928571855001
"AHMEDABAD CITY, GUJARAT",5.857142857,4.357142857,0.428571429,21.42857143,0.0,7.142857143,52.42857143,2.571428571,0.142857143,18.64285714,71.42857143,184.9285714,120.9285714,0.0,12.85714286,12.07142857,15.28571429,0.0,0.285714286,35.0,0.785714286,23.57142857,0.0,57.28571429,0.0,174.9285714,64.0,0.357142857,2.357142857,889.0714284960001
"AHMEDABAD COMMR., GUJARAT",92.85714286,60.42857143,7.357142857,44.42857143,0.0,44.42857143,394.1428571,34.78571429,2.428571429,419.5714286,719.0,4364.571429,2303.571429,2061.0,184.6428571,221.7857143,244.8571429,12.14285714,7.357142857,1270.071429,7.357142857,71.42857143,16.64285714,959.0,0.0,168.0,0.0,0.0,0.0,13711.857144149997
"AHMEDABAD RURAL, GUJARAT",34.21428571,20.71428571,1.928571429,11.14285714,0.0,8.571428571,88.14285714,12.42857143,0.357142857,28.64285714,109.0,288.0,89.92857143,188.4285714,59.85714286,50.5,14.57142857,3.642857143,14.5,320.7857143,0.857142857,24.85714286,0.071428571,109.0,0.0,350.2857143,9.642857143,0.071428571,0.214285714,1840.3571428460004
